date,Name,Type,holidays_name,holidays_type
2020-01-01,New Year's Day,National holiday,8,0
2020-02-24,Independence Day,National holiday,5,0
2020-04-10,Good Friday,National holiday,4,0
2020-04-12,Easter Sunday,National holiday,3,0
2020-06-23,Victory Day,National holiday,10,0
2020-06-24,Midsummer Day,National holiday,7,0
2020-08-20,Independence Restoration Day,National holiday,6,0
2020-12-24,Christmas Eve,National holiday,2,0
2020-12-25,Christmas Day,National holiday,1,0
2020-12-26,Boxing Day,National holiday,0,0
2021-01-01,New Year's Day,National holiday,8,0
2021-02-24,Independence Day,National holiday,5,0
2021-04-02,Good Friday,National holiday,4,0
2021-04-04,Easter Sunday,National holiday,3,0
2021-06-23,Victory Day,National holiday,10,0
2021-06-24,Midsummer Day,National holiday,7,0
2021-08-20,Independence Restoration Day,National holiday,6,0
2021-12-24,Christmas Eve,National holiday,2,0
2021-12-25,Christmas Day,National holiday,1,0
2021-12-26,Boxing Day,National holiday,0,0
2022-01-01,New Year's Day,National holiday,8,0
2022-02-24,Independence Day,National holiday,5,0
2022-04-15,Good Friday,National holiday,4,0
2022-04-17,Easter Sunday,National holiday,3,0
2022-06-05,Pentecost,National holiday,9,0
2022-06-23,Victory Day,National holiday,10,0
2022-06-24,Midsummer Day,National holiday,7,0
2022-08-20,Independence Restoration Day,National holiday,6,0
2022-12-24,Christmas Eve,National holiday,2,0
2022-12-25,Christmas Day,National holiday,1,0
2022-12-26,Boxing Day,National holiday,0,0
2023-01-01,New Year's Day,National holiday,8,0
2023-02-24,Independence Day,National holiday,5,0
2023-04-07,Good Friday,National holiday,4,0
2023-04-09,Easter Sunday,National holiday,3,0
2023-06-23,Victory Day,National holiday,10,0
2023-06-24,Midsummer Day,National holiday,7,0
2023-08-20,Independence Restoration Day,National holiday,6,0
2023-12-24,Christmas Eve,National holiday,2,0
2023-12-25,Christmas Day,National holiday,1,0
2023-12-26,Boxing Day,National holiday,0,0
2024-01-01,New Year's Day,National holiday,8,0
2024-02-24,Independence Day,National holiday,5,0
2024-03-29,Good Friday,National holiday,4,0
2024-03-31,Easter Sunday,National holiday,3,0
2024-06-23,Victory Day,National holiday,10,0
2024-06-24,Midsummer Day,National holiday,7,0
2024-08-20,Independence Restoration Day,National holiday,6,0
2024-12-24,Christmas Eve,National holiday,2,0
2024-12-25,Christmas Day,National holiday,1,0
2024-12-26,Boxing Day,National holiday,0,0
2025-01-01,New Year's Day,National holiday,8,0
2025-02-24,Independence Day,National holiday,5,0
2025-04-18,Good Friday,National holiday,4,0
2025-04-20,Easter Sunday,National holiday,3,0
2025-06-08,Pentecost,National holiday,9,0
2025-06-23,Victory Day,National holiday,10,0
2025-06-24,Midsummer Day,National holiday,7,0
2025-08-20,Independence Restoration Day,National holiday,6,0
2025-12-24,Christmas Eve,National holiday,2,0
2025-12-25,Christmas Day,National holiday,1,0
2025-12-26,Boxing Day,National holiday,0,0
2026-01-01,New Year's Day,National holiday,8,0
2026-02-24,Independence Day,National holiday,5,0
2026-04-03,Good Friday,National holiday,4,0
2026-04-05,Easter Sunday,National holiday,3,0
2026-06-23,Victory Day,National holiday,10,0
2026-06-24,Midsummer Day,National holiday,7,0
2026-08-20,Independence Restoration Day,National holiday,6,0
2026-12-24,Christmas Eve,National holiday,2,0
2026-12-25,Christmas Day,National holiday,1,0
2026-12-26,Boxing Day,National holiday,0,0
